Index,Product_Title,Price_of_the_Product,Product_Details,Product_Image_URL,scarp_url
38,Happy Birthday: Humoristische Variationen über ein Geburtstagslied. Klavier 4-händig. (Edition Schott Einzelausgabe),6.50,Happy Birthday: Humoristische Variationen über ein Geburtstagslied. Klavier 4-händig. (Edition Schott Einzelausgabe),"https://images-na.ssl-images-amazon.com/images/I/41wLZGTLuGL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000109257X
39,Happy birthday piano,,Happy birthday piano,"https://images-na.ssl-images-amazon.com/images/I/41wLZGTLuGL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000109257X
40,6 Duos: op. 1. 2 Flöten. Spielpartitur. (Edition Schott),,6 Duos: op. 1. 2 Flöten. Spielpartitur. (Edition Schott),"https://images-na.ssl-images-amazon.com/images/I/41yNWRfXqDL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000109453X
41,Duos(6) opus 1 flute traversiere,"33,14",Duos(6) opus 1 flute traversiere,"https://images-na.ssl-images-amazon.com/images/I/41yNWRfXqDL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000109453X
42,Csárdás-Kompositionen: Klarinette und Klavier. (Edition Schott),16.00,Csárdás-Kompositionen: Klarinette und Klavier. (Edition Schott),"https://images-na.ssl-images-amazon.com/images/I/41vzotqLOgL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000109825X
43,Csardas-kompositionen clarinette,"26,26",Csardas-kompositionen clarinette,"https://images-na.ssl-images-amazon.com/images/I/41vzotqLOgL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000109825X
44,"Sérénade espagnole: Violine und Klavier. (Edition Schott, Nr. 26)",9.00,"Sérénade espagnole: Violine und Klavier. (Edition Schott, Nr. 26)","https://images-na.ssl-images-amazon.com/images/I/419YG5nPHEL._SX380_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000110733X
45,Serenata spagnola (kreisler) violon,"14,77",Serenata spagnola (kreisler) violon,"https://images-na.ssl-images-amazon.com/images/I/419YG5nPHEL._SX380_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000110733X
46,Eingedunkelt: Neun Gedichte nach Paul Celan. Alt-Solo. Alt.,,Eingedunkelt: Neun Gedichte nach Paul Celan. Alt-Solo. Alt.,"https://images-na.ssl-images-amazon.com/images/I/41suSIrxOHL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000111252X
47,Eingedunkelt,"25,94",Eingedunkelt,"https://images-na.ssl-images-amazon.com/images/I/41suSIrxOHL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000111252X
48,"Viola Spaces: Contemporary Viola Studies. Band 1. Viola. (Essential Exercises, Band 1)",28.00,"Viola Spaces: Contemporary Viola Studies. Band 1. Viola. (Essential Exercises, Band 1)","https://images-na.ssl-images-amazon.com/images/I/41Y-4h2wgsL._SX379_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000115687X
49,Viola spaces vol. 1 alto,"41,03",Viola spaces vol. 1 alto,"https://images-na.ssl-images-amazon.com/images/I/41Y-4h2wgsL._SX379_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000115687X
50,Klaviertrio G-Dur Hob XV:15 (EB 1131),13.90,Klaviertrio G-Dur Hob XV:15 (EB 1131),"https://images-na.ssl-images-amazon.com/images/I/41zx75efEBL._SX376_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416041X
51,Klavier-trio g-dur hob xv: 15,,Klavier-trio g-dur hob xv: 15,"https://images-eu.ssl-images-amazon.com/images/I/41zx75efEBL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.fr/dp/000416041X
52,VIOLINKONZERT 2 D-DUR KV 211,3.85,VIOLINKONZERT 2 D-DUR KV 211,"https://images-na.ssl-images-amazon.com/images/I/51Qp-R83kUL._SX375_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416105X
53,Violinkonzert 2 d-dur kv 211,"25,02",Violinkonzert 2 d-dur kv 211,"https://images-na.ssl-images-amazon.com/images/I/51Qp-R83kUL._SX375_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416105X
54,"2 divertimenti kv 252, kv 240","18,47","2 divertimenti kv 252, kv 240","https://images-na.ssl-images-amazon.com/images/I/41H73ri0GDL._SX348_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416198X
55,"2 leichte Divertimenti für Violine (Oboe), Cello (Fagott) und Klavier - Es-dur KV 252 (240a) und B-dur KV 240 - Bearbeitung (EB 3810)","18,02","2 leichte Divertimenti für Violine (Oboe), Cello (Fagott) und Klavier - Es-dur KV 252 (240a) und B-dur KV 240 - Bearbeitung (EB 3810)","https://images-na.ssl-images-amazon.com/images/I/41H73ri0GDL._SX348_BO1,204,203,200_.jpg",https://www.amazon.it/dp/000416198X
56,"Il Re pastore KV 208 - L'amerò, sarò costante - Arie der Aminta - Ausgabe für Sorpan, Violine und Klavier (EB 5473)",7.90,"Il Re pastore KV 208 - L'amerò, sarò costante - Arie der Aminta - Ausgabe für Sorpan, Violine und Klavier (EB 5473)","https://images-na.ssl-images-amazon.com/images/I/41YwjHe4wkL._SX376_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416413X
57,L'amero/dein bin ich kv 208,"10,55",L'amero/dein bin ich kv 208,"https://images-na.ssl-images-amazon.com/images/I/41YwjHe4wkL._SX376_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416413X
58,Sonate op. 41 - Ausgabe für Fagott und Klavier (EB 5567),35.90,Sonate op. 41 - Ausgabe für Fagott und Klavier (EB 5567),"https://images-na.ssl-images-amazon.com/images/I/41aptNQZHrL._SX375_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416444X
59,Sonate op. 41 basson,"47,69",Sonate op. 41 basson,"https://images-na.ssl-images-amazon.com/images/I/41aptNQZHrL._SX375_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416444X
60,Quintett B-dur op. 34 - Breitkopf Urtext - Stimmensatz (EB 5830),25.90,Quintett B-dur op. 34 - Breitkopf Urtext - Stimmensatz (EB 5830),"https://images-na.ssl-images-amazon.com/images/I/41QN-6dasEL._SX381_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416508X
61,Quintett b-dur op. 34 clarinette,"36,44",Quintett b-dur op. 34 clarinette,"https://images-na.ssl-images-amazon.com/images/I/41QN-6dasEL._SX381_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416508X
62,Sonate B-dur für Flöte und Klavier (EB 5879),15.90,Sonate B-dur für Flöte und Klavier (EB 5879),"https://images-na.ssl-images-amazon.com/images/I/515ZbxjDfLL._SX372_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416511X
63,Sonate bes flute traversiere,"20,96",Sonate bes flute traversiere,"https://images-na.ssl-images-amazon.com/images/I/515ZbxjDfLL._SX372_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416511X
64,Chaconne d-moll aus bwv 1004,"13,93",Chaconne d-moll aus bwv 1004,"https://images-na.ssl-images-amazon.com/images/I/41lrIDbi75L._SX368_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416816X
65,Chaconne aus der Partita II d-moll BWV 1004 Bearbeitung für Cembalo (EB 6594),"13,93",Chaconne aus der Partita II d-moll BWV 1004 Bearbeitung für Cembalo (EB 6594),"https://images-na.ssl-images-amazon.com/images/I/41lrIDbi75L._SX368_BO1,204,203,200_.jpg",https://www.amazon.it/dp/000416816X
66,LITANIAE DE VENERABILI KV 243,14.79,LITANIAE DE VENERABILI KV 243,"https://images-na.ssl-images-amazon.com/images/I/414wyAfP+WL._SX350_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000416976X
67,Litaniae de venerabili kv 243,"16,88",Litaniae de venerabili kv 243,"https://images-na.ssl-images-amazon.com/images/I/414wyAfP+WL._SX350_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000416976X
68,"Kantate 2 Ach Gott, Vom",8.16,"Kantate 2 Ach Gott, Vom","https://images-na.ssl-images-amazon.com/images/I/41Suo9QtJ2L._SX350_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417156X
69,"Kantate 2 ach gott, vom",,"Kantate 2 ach gott, vom","https://images-na.ssl-images-amazon.com/images/I/41Suo9QtJ2L._SX350_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417156X
70,Kantate 19 Es Erhub Sich Ein,11.26,Kantate 19 Es Erhub Sich Ein,"https://images-na.ssl-images-amazon.com/images/I/41xQZu3zHbL._SX351_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417173X
71,Kantate 19 es erhub sich ein,"7,37",Kantate 19 es erhub sich ein,"https://images-na.ssl-images-amazon.com/images/I/41xQZu3zHbL._SX351_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417173X
72,"Kantate 52 Falsche Welt, Dir",7.39,"Kantate 52 Falsche Welt, Dir","https://images-na.ssl-images-amazon.com/images/I/41mTrzyK76L._SX349_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417206X
73,"Kantate 52 falsche welt, dir","6,21","Kantate 52 falsche welt, dir","https://images-na.ssl-images-amazon.com/images/I/41mTrzyK76L._SX349_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417206X
74,KANTATE 083 ERFREUTE ZEIT IM,6.50,KANTATE 083 ERFREUTE ZEIT IM,"https://images-na.ssl-images-amazon.com/images/I/41d0FaBiSTL._SX344_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417237X
75,Kantate 083 erfreute zeit im,,Kantate 083 erfreute zeit im,"https://images-na.ssl-images-amazon.com/images/I/41d0FaBiSTL._SX344_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417237X
76,"Kantate 86 Wahrlich, Wahrlich",6.50,"Kantate 86 Wahrlich, Wahrlich","https://images-na.ssl-images-amazon.com/images/I/41aWBN0BW1L._SX350_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417240X
77,"Kantate 86 wahrlich, wahrlich",,"Kantate 86 wahrlich, wahrlich","https://images-na.ssl-images-amazon.com/images/I/41aWBN0BW1L._SX350_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417240X
78,Kantate 114 Ach Lieben,8.50,Kantate 114 Ach Lieben,"https://images-na.ssl-images-amazon.com/images/I/41mIiAzCWsL._SX349_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417268X
79,Kantate 114 ach lieben,,Kantate 114 ach lieben,"https://images-na.ssl-images-amazon.com/images/I/41mIiAzCWsL._SX349_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417268X
80,Kantate 117 Sie Lob Und Ehr,9.15,Kantate 117 Sie Lob Und Ehr,"https://images-na.ssl-images-amazon.com/images/I/41hlFmvlMsL._SX351_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417271X
81,Kantate 117 sie lob und ehr,"8,02",Kantate 117 sie lob und ehr,"https://images-na.ssl-images-amazon.com/images/I/41hlFmvlMsL._SX351_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417271X
82,"Bach, Kantate 164, Ihr, die ihr euch von Christo nennet",7.39,"Bach, Kantate 164, Ihr, die ihr euch von Christo nennet","https://images-na.ssl-images-amazon.com/images/I/41+g+QbpBFL._SX381_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417318X
83,Kantate 164 ihr die ihr euch,,Kantate 164 ihr die ihr euch,"https://images-na.ssl-images-amazon.com/images/I/41+g+QbpBFL._SX381_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417318X
84,Kantate 181 Leichtgesinnte,6.50,Kantate 181 Leichtgesinnte,"https://images-na.ssl-images-amazon.com/images/I/31D4bTOuJaL._SX350_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417335X
85,Kantate 181 leichtgesinnte,,Kantate 181 leichtgesinnte,"https://images-na.ssl-images-amazon.com/images/I/31D4bTOuJaL._SX350_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417335X
86,Fantasie über den Choral 'Ein feste Burg ist unser Gott' op. 27 für Orgel - Breitkopf Urtext (EB 8512),11.90,Fantasie über den Choral 'Ein feste Burg ist unser Gott' op. 27 für Orgel - Breitkopf Urtext (EB 8512),"https://images-na.ssl-images-amazon.com/images/I/418j2w9CkKL._SX366_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417805X
87,Choralfantasie feste burg orgue,,Choralfantasie feste burg orgue,"https://images-na.ssl-images-amazon.com/images/I/418j2w9CkKL._SX366_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417805X
88,3 Stücke op. 142 für Orgel - 1. Stimmen der Nacht - 2. Violalse mignonne - 3. Romantisch (EB 8584),13.90,3 Stücke op. 142 für Orgel - 1. Stimmen der Nacht - 2. Violalse mignonne - 3. Romantisch (EB 8584),"https://images-na.ssl-images-amazon.com/images/I/51jcnDzKubL._SX376_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000417870X
89,Stucke(3) op.142 orgue,"18,15",Stucke(3) op.142 orgue,"https://images-na.ssl-images-amazon.com/images/I/51jcnDzKubL._SX376_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000417870X
90,L'ARLESIENNE-SUITE NR. 2 ORCHESTRE,,L'ARLESIENNE-SUITE NR. 2 ORCHESTRE,"https://images-na.ssl-images-amazon.com/images/I/41ELX18MMVL._SX375_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000420736X
91,L'arlesienne-suite nr. 2 orchestre,"52,14",L'arlesienne-suite nr. 2 orchestre,"https://images-na.ssl-images-amazon.com/images/I/41ELX18MMVL._SX375_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000420736X
92,EIN DEUTSCHES REQUIEM 2 KLAV,92.00,EIN DEUTSCHES REQUIEM 2 KLAV,"https://images-na.ssl-images-amazon.com/images/I/41kvwEvPVpL._SY390_BO1,204,203,200_.jpg",https://www.amazon.de/dp/000421143X
93,Ein deutsches requiem 2 klav,,Ein deutsches requiem 2 klav,"https://images-na.ssl-images-amazon.com/images/I/41kvwEvPVpL._SY390_BO1,204,203,200_.jpg",https://www.amazon.fr/dp/000421143X
